Sex,Embarked,Age,Pclass,SibSp,Parch,Fare,Survived
male,S,,3,1,2,23.45,0
male,S,25,3,0,0,7.05,0
male,S,25,3,0,0,7.25,0
female,S,18,3,0,0,7.4958,1
male,Q,8,3,4,1,29125,0
male,S,1,3,1,2,20575,1
male,C,46,1,0,0,79.2,0
male,Q,,3,0,0,7.75,0
male,S,16,2,0,0,26,0
female,S,,3,8,2,69.55,0
male,C,,1,0,0,30.6958,0
male,S,25,3,0,0,7.8958,0
male,S,39,2,0,0,13,0
female,S,49,1,0,0,25.9292,1
female,S,31,3,0,0,8.6833,1
male,C,30,3,0,0,7.2292,0
female,S,30,3,1,1,24.15,0
male,S,34,2,0,0,13,0
female,S,31,2,1,1,26.25,1
male,S,11,1,1,2,120,1
male,C,0.42,3,0,1,8.5167,1
male,S,27,3,0,0,6975,1
male,S,31,3,0,0,7775,0
male,S,39,1,0,0,0,0
female,S,18,3,0,0,7775,0
male,S,39,2,0,0,13,0
female,S,33,1,1,0,53.1,1
male,S,26,3,0,0,7.8875,0
male,S,39,3,0,0,24.15,0
male,S,35,2,0,0,10.5,0
female,S,6,3,4,2,31275,0
male,S,30.5,3,0,0,8.05,0
male,S,,1,0,0,0,0
female,S,23,3,0,0,7925,0
male,C,31,2,1,1,37.0042,0
male,S,43,3,0,0,6.45,0
male,S,10,3,3,2,27.9,0
female,S,52,1,1,1,93.5,1
male,S,27,3,0,0,8.6625,1
male,S,38,1,0,0,0,0
female,S,27,3,0,1,12475,1
male,S,2,3,4,1,39.6875,0
male,Q,,3,0,0,6.95,0
male,S,,3,0,0,56.4958,0
male,C,1,2,0,2,37.0042,1
male,Q,,3,0,0,7.75,1
female,Q,62,1,0,0,80,1
female,C,15,3,1,0,14.4542,1
male,S,0.83,2,1,1,18.75,1
male,C,,3,0,0,7.2292,0
male,S,23,3,0,0,7.8542,0
male,S,18,3,0,0,8.3,0
female,C,39,1,1,1,83.1583,1
male,S,21,3,0,0,8.6625,0
male,S,,3,0,0,8.05,0
male,S,32,3,0,0,56.4958,1
male,C,,1,0,0,29.7,1
male,S,20,3,0,0,7925,0
male,S,16,2,0,0,10.5,0
female,C,30,1,0,0,31,1
male,C,34.5,3,0,0,6.4375,0
male,S,17,3,0,0,8.6625,0
male,S,42,3,0,0,7.55,0
male,S,,3,8,2,69.55,0
male,C,35,3,0,0,7.8958,0
male,S,28,2,0,1,33,0
female,C,,1,1,0,89.1042,1
male,S,4,3,4,2,31275,0
male,S,74,3,0,0,7775,0
female,C,9,3,1,1,15.2458,0
female,S,16,1,0,1,39.4,1
female,S,44,2,1,0,26,0
female,S,18,3,0,1,9.35,1
female,S,45,1,1,1,164.8667,1
male,S,51,1,0,0,26.55,1
female,C,24,3,0,3,19.2583,1
male,C,,3,0,0,7.2292,0
male,S,41,3,2,0,14.1083,0
male,S,21,2,1,0,11.5,0
female,S,48,1,0,0,25.9292,1
female,S,,3,8,2,69.55,0
male,S,24,2,0,0,13,0
female,S,42,2,0,0,13,1
female,C,27,2,1,0,13.8583,1
male,S,31,1,0,0,50.4958,0
male,S,,3,0,0,9.5,0
male,S,4,3,1,1,11.1333,1
male,S,26,3,0,0,7.8958,0
female,S,47,1,1,1,52.5542,1
male,S,33,1,0,0,5,0
male,S,47,3,0,0,9,0
female,C,28,2,1,0,24,1
female,C,15,3,0,0,7225,1
male,S,20,3,0,0,9.8458,0
male,S,19,3,0,0,7.8958,0
male,S,,3,0,0,7.8958,0
female,C,56,1,0,1,83.1583,1
female,S,25,2,0,1,26,1
male,S,33,3,0,0,7.8958,0
female,S,22,3,0,0,10.5167,0
male,S,28,2,0,0,10.5,0
male,S,25,3,0,0,7.05,0
female,Q,39,3,0,5,29125,0
male,S,27,2,0,0,13,0
female,S,19,1,0,0,30,1
female,S,,3,1,2,23.45,0
male,C,26,1,0,0,30,1
male,Q,32,3,0,0,7.75,0
